iter	Passed	Remaining
0	1	103
1	1	95
2	2	91
3	3	87
4	4	85
5	5	83
6	6	82
7	7	81
8	7	79
9	8	78
10	9	77
11	10	76
12	11	76
13	12	75
14	13	74
15	14	74
16	14	73
17	15	72
18	16	71
19	17	71
20	18	70
21	19	69
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	51
43	39	50
44	40	49
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	37
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
